===12/19 00:29:51
ㄷㄷㄷㅈ     ㅇㅇ(39.7) 00:30 
잼민이들 눈물콧물 입갱 ㅋㅋㅋ     ㅇㅇ(125.138) 00:30 
ㄷㄷㄷㅈ     딛디티 00:30 
투표간다 머쉬야     ㅇㅇ(1.245) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(115.137) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(106.255) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(118.91) 00:30 
===12/19 00:30:13
ㄷㄷㄷㅈ     ㅇㅇ(118.47) 00:30 
뱀들 컷했노 ㅠㅠ 머쉬 준우승해ㅠㅠㅠㅠ     킹놀드 00:30 
잼민이들 풀발기ㅋㅋㅋㅋㅋㅋ     Madro인생 00:30 
ㄷㄷㄷㅈ     나드리 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(1.236) 00:30 
ㄷㄷㄷㅈ     24:26 00:30 
ㄷㄷㄷㅈ     곰치오빠 00:30 
ㄷㄷㄷㅈ     내가미래미.. 00:30 
머쉬베놈 초필살기 ㅋㅋㅋㅋ     띠요링 00:30 
ㄷㄷㄷㄷㅈ     국내샤머니.. 00:30 
재탕 좆되네 ㄹㅇ     칠성스프라.. 00:30 
ㄷㄷㄷㅈ ㅋㅋㅋㅋ 웅장해진다     ㅇㅇ(112.172) 00:30 
투표 ㅁㅌㅊ?     조형준 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(211.55) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(221.163) 00:30 
ㄷㄷㄷㅈ     법뻔뻔. 00:30 
ㄷㄷㄷㅈ     딛디티 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(124.49) 00:30 
머쉬 부모님 안계심?     ㅇㅇ(223.39) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(121.136) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(218.150) 00:30 
ㄷㄷㄷㅈ     wondu 00:30 
조부모님은 권사인데 손자는 무신론자 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(210.223) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(211.211) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(115.86) 00:30 
ㄷㄷㄷㅈ     멍냥이 00:30 
ㄷㄷㄷㅈㅋㅋㄲ     ㅇㅇ(118.235) 00:30 
ㄷㄷㄷㅈ     중앙대 00:30 
===12/19 00:30:19
ㄷㄷㄷㅈ     ㅇㅇ(211.207) 00:30 
ㄷㄷㄷㅈ     JJ(218.238) 00:30 
ㄷㄷㄷㅈ     슈스김예림 00:30 
승전보 onㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(182.222) 00:30 
ㄷㄷㄷㅈ     출사표 00:30 
야 문자투표 이렇게하면 무효냐     ㅇㅇ(223.62) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(211.177) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(211.36) 00:30 
ㄷㄷㄷㅈ 우승은 머쉬ㄷㄷㄷㅈ     ㅇㅇ(222.103) 00:30 
ㄷ닥치고 ㄷㄷㄷㅈ 해라 힙갤놈들아     ㅇㅇ(1.240) 00:30 
ㄸㄸㅈ     ㅇㅇ(125.178) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(182.218) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(180.229) 00:30 
ㄷㄷㄷㅈ     오루나 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(61.77) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(61.254) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(119.192) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(39.7) 00:30 
잼민이들아 뒤져라     ㅇㅇ(118.33) 00:30 
ㄷㄸㅈ     ㅇㅇ(175.197) 00:30 
ㄷㄷㄷㅈ     로흐 00:30 
잼민이 할매한테 전화시작 ㅋㅋㅋㅋㅋ     보보보 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(121.132) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(122.45) 00:30 
잼민이가 쇼미9 유튜브로 실시간으로 무단 송출함 ㅋㅋ     ㅇㅇ(116.121) 00:30 
ㄷㄷㄷㅈ입갤     jeongun 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(125.186) 00:30 
===12/19 00:30:25
ㄷㄷㄷㅈ 입갤      ㅇㅇ(218.157) 00:30 
ㄷㄷㅈㅈ     ㅇㅇ(116.124) 00:30 
머수베놈 우승ㅋㅋㅋ     오오(124.54) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(49.173) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(221.152) 00:30 
ㄷㄷㄷㅈ     전병준 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(211.110) 00:30 
ㄷㄷㄷㅈ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     이유비. 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(116.121) 00:30 
ㄸㄷㅈ     ㅇㅇ(223.62) 00:30 
ㄷㄷㄷㅈ     아이보리보.. 00:30 
좆됐노 잼민이들 무발기사정ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     77세 00:30 
딜 존나 잘박아 ㅋㅋ     어이쿠(49.169) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(218.150) 00:30 
야니 머지 씨뱔 그사이에 염색함?     어록바 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(220.119) 00:30 
vvs에 할머니 얘기가 진짜였네     미스터P 00:30 
ㄷㄷㄷㅈ     파키파키 00:30 
ㄷㄷㄷㅈ 시발 ㅋㅋㅋ     치투 00:30 
ㄷㄷㄷㅈ     2024 00:30 
ㄷㄷㄷㅈ     wondu 00:30 
ㄷㄷㄷㅈ     일리비션 00:30 
ㄷㄷㄷㅈ     zpz 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(1.225) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(1.244) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(1.240) 00:30 
ㄷㄷㄷㅈㄷㄷㄷㅈ     ㅇㅇ(222.109) 00:30 
ㄷㄷㄷㅈ     ㅇㅇㄹ(118.235) 00:30 
===12/19 00:30:30
ㄷㄷㄷㅈ은 ㅇㅈ이지     ㅇㅇ(183.101) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(59.0) 00:30 
ㄷㄷㄷㅈ 우승     ㅇㅇ(39.7) 00:30 
스윙스 개새끼야 머쉬 할머님한테 왜 그랬냐...     ㅇㅇ(112.146) 00:30 
투표율 터지네 ㅋㅋㅋ     우걱우걱 00:30 
개콘 인트로아님?     빠크(221.153) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(1.244) 00:30 
치트키쓰네ㅋㅋㄱㄱㅋ     박하연 00:30 
ㄷㄷㄷㅈ ㅋㅋㅋㅋㅋ     ㅁㄴㅇㄹ(223.39) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(175.197) 00:30 
ㄷㄷㄷㅈ     wondu 00:30 
ㄷㄷㄷㅈㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(125.177) 00:30 
떴다ㄷㄷ     ㅇㅇ(211.49) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(121.138) 00:30 
ㄷㄷㄷㅈ     00(118.235) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(124.52) 00:30 
ㄷㄷㄷㅈ      ㅇㅇ(218.150) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(211.110) 00:30 
lol과 lck -> 그루비룸 저스디스 ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.217) 00:30 
ㄷㄷㄷㅈ     중앙대 00:30 
일단달려 ㄷㄷㄷㅈ     ㅇㅇ(110.13) 00:30 
ㄷㄷㄷㄷㅈ     국내샤머니.. 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(39.7) 00:30 
ㄷㄷㄷㅈ     Rain0408 00:30 
ㄸㄷㅈ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     머머따 00:30 
할머니 입장에서 손자가 이겼는데 탈락한 현실보고 자괴감느끼신듯     cloud(61.77) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(116.122) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(125.178) 00:30 
===12/19 00:30:36
ㄷㄷㄷㅈ     딛디티 00:30 
ㄸㄷㅈ     ㅋㅋ 00:30 
ㄷㄷㄷㅈ     jeongun 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(39.122) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(211.211) 00:30 
ㄷㄷㄷㅈ     MooMin 00:30 
씨발 치트키 ㅈㄴ 무섭놐ㅋㅋㅋㅋ     ㅇㅇ(211.36) 00:30 
ㄷㄷㄷㅈ 어케 이기누 이걸 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(49.171) 00:30 
인트로 꺼져 제발     ㅇㅇ(121.177) 00:30 
ㅅㅂ 우승해야지     ㅇㅇ(211.106) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(223.39) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(182.227) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(124.58) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(124.111) 00:30 
ㄷㄷㄷㅈ     wondu 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(175.126) 00:30 
ㄷㄷㄷㅈ 힙갤 대통합      일리비션 00:30 
ㄷㄷㄷㅈ     쭈냥(223.39) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(59.86) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(223.62) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(211.110) 00:30 
초글링들 러쉬오겠노 ㅋㅋㅋㅋㅋ     반퉁충(119.198) 00:30 
ㄷㄷㄷㅈ     river 00:30 
아이건 반칙이지     ㅇㅇ(14.38) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(1.242) 00:30 
ㄷㄷㄷㅈ     중앙대 00:30 
ㄷㄷㄷㅈ 진짜 할 줄은 몰랐네 ㅋㅋㅋㅋ     우하하팡파.. 00:30 
===12/19 00:30:42
ㄷㄷㄷㅈ     ㅇㅇ(49.143) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(124.54) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(112.151) 00:30 
ㄷ ㄷ ㄷ ㅈ     설공 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(1.244) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(211.36) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(220.76) 00:30 
ㄷ ㄷ ㄷ ㄷㅈ     ㅇㅇ(125.249) 00:30 
치트키쓰노     ㅇ ㅇ(118.38) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(222.237) 00:30 
ㄷㄷㄷㅈ     일리비션 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(220.119) 00:30 
존나 신나네 ㅋㅋㅋㅋㅋㅋㅋ     산미 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(118.235) 00:30 
잼민이들 원기옥 모이겠노 ㅋㅋㅋㅋㅋ     ㅇㅇ(175.118) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(220.74) 00:30 
이거지씨발ㅋㅋㅋㅋ     JOJI 00:30 
아까 예고때는 lol과 lck라던데     ㅇㅇ 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(116.41) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(39.120) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(122.44) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(121.172) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(106.101) 00:30 
배경 ㅅㅂ 치트키ㅋㅋㅋㅋㅋㅋㅋㅋ     곰치오빠 00:30 
ㄷㄷㄷㅈ     비디오테이.. 00:30 
잼민이들 자고있는 엄마폰 몰래가져감ㅋㅋ     그런거없어.. 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(223.38) 00:30 
이건 ㅈㄴ우려먹을수있냐     ㅇㅇ(1.229) 00:30 
===12/19 00:30:48
와 비트     디시병신 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(1.229) 00:30 
ㄷㄷㄷㅈ     wondu 00:30 
급식충 씨발진짜     ㅇㅇ(121.181) 00:30 
ㄷㄷㄷㅈ     오왕 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(221.163) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(223.39) 00:30 
ㄷㄷㄷㅈ은 인정이지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(14.51) 00:30 
또둥등장 ㅅㅂ 잼민이들 풀발기중ㅋㅋ     ㅇㅇ(115.139) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(106.102) 00:30 
가불기 거노ㅋㅋㅋ     Frost 00:30 
ㄷㄷㄷㅈ     Rain0408 00:30 
ㄷㄷㄷㅈ     딛디티 00:30 
머쉬 우슽ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(112.153) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(121.148) 00:30 
비트좆사기네     오오(124.54) 00:30 
와비트ㅅㅂ     03다트 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(211.172) 00:30 
코쿤 표정ㅋㅋㅋ팔짱 ㅋㅋㅋㅅㅂ     ㅇㅇ(39.7) 00:30 
비트지린다     ㅇㅇ(211.211) 00:30 
피쳐링 저스디스 ㅋㅋㅋㅋㅋㅋㅋ     KimXimya 00:30 
ㄷㄷㄷㅈ     후후후전드(211.59) 00:30 
뇌절등장 ㅋㅋㅋ     김어둠 00:30 
비트 쌉굳     우하하팡파.. 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(118.91) 00:30 
승전보 입갤ㅋㅋㅋㅋ     ㅇㅇㅋ(110.47) 00:30 
현 티빙 잼민이들 상황     ㅇㅇ(211.44) 00:30 
개사 맛깔지노ㅋㅋㅋㅋ     ㅇㅇ(58.226) 00:30 
===12/19 00:30:53
ㄷㄷㄷㅈ     ㅇㅇ 00:30 
오 이거 조다     ㅇㅇ(49.143) 00:30 
승전보 치트키 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(49.161) 00:30 
존나 쎄네 아 ㅋㅋ     ㅇㅇ(121.183) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(118.235) 00:30 
비트 좆되는데?     ㅇㅇ(223.39) 00:30 
이게 결승이지     울산머학생 00:30 
비트 지리네ㅋㅋㅋ     ㅇㅇ(180.65) 00:30 
ㄷㄷㄷㅈ     wondu 00:30 
저스디스 ㄷㄷㄷ     ㅇㅇ(124.80) 00:30 
안병웅 전줄도 몰랏음 귀엽다 걍ㅋㅋㅋㅋ     ㅇㅇ(121.50) 00:30 
피처링저스디스 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ     씻팔년 00:30 
ㄸㄷㅈ     ㅇㅇ(106.101) 00:30 
비트 좆사기노     ㅇㅇ(118.47) 00:30 
비트봐 ㅅㅂ;      iamon 00:30 
ㄷㄷㄷㅈ     0000(175.212) 00:30 
ㅈㄴ우려먹네ㅋㅋ     ㅇㅇ(222.101) 00:30 
"예아"     ㅇㅇ(222.117) 00:30 
