리(아)무진     ㅇㅇ(223.62) 
쇼미9이 개잘뽑은거였네 ㅅㅂ     ㅇㅇ(223.39) 
수고 비오우승     ㅇㅇ(222.109) 
시발 이건 진짜 그냥 팝이잖아 ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.33) 
존나좋네ㅋㅋㅋㅋ     A$APLUKE 
베이식 얘 이번거 역대급이네     ㅇㅇ(220.78) 
비오가 좆전목마 딸듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.62) 
랩하는데?? 좋노 ㅋㅋㅋㅋ     ㅇㅇ(39.122) 
좋노 ㅋㅋㅋㅋㅋㅋㅋ     단풍 
와 랩한다 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(115.140) 
오늘 나온 모든 곡 보다 이게 나으면 개추 ㅋㅋ     ㅇㅇ(1.237) 
비오 피쳐링 있음?     입술 
마이크빼기 ㅋㅋ     키움의겁없.. 
슈퍼스타k 를 왜 여기서 하냐고     ㅇㅇ(121.157) 
릴보이 삘나는데 ㄹㅇ??     ㅇㅇ(115.137) 
비오는 랩한다 병신들아ㅋㅋ     ㅇㅇ(175.199) 
===11/20 00:49:33===
진짜 개좆됐규나 쇼미     ㅇㅇ(39.124) 
쿤타보다는 힙합이네ㅋㅋㅋㅋㅋㅋ     흑로갸 
짱유 이번 시즌 나왔으면 우승 각이냐     ㅇㅇ(1.229) 
다 개같이 싱잉이네 ㅋㅋㅋ 걍 슈퍼스타k 맞잖아 씨발ㅋㅋ     ㅇㅇ(221.159) 
진짜 이번 시즌이 8보다 심한거같은데     ㅇㅇ(1.233) 
쇼미더싱잉ㅋㅋ     SINCE_ 
존나 좋은데???ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.39) 
아이언 부활해라 존나 힙합이 뭐저래 ㅋㅋㅋ 이럴거면 슈스케다시 해라     ㅇㅇ(219.248) 
팩트))) 비오가 음원 1등임     ㅇㅇ(123.108) 
먼가 7 years 느낌나네     ㅇㅇ(211.246) 
쟤는 잘하는거 인정하는데찡긋 거릴때 패고싶음ㄹㅇㅋㅋ     ㅇㅇ(49.164) 
쇼미10<---00년대 락     ㅇㅇ(211.216) 
다건고 이거 음원 1위다.     ㅋ.ㅋ(218.234) 
