또 쇼미더피처링이노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(221.146) 23:42 
이게 좋은거냐 안좋은거냐 개헷갈리노     ㅇㅇ(110.13) 23:42 
그냥 곡 먹헜노     12(112.153) 23:42 
비트 <--- 진짜 씹구림ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(58.226) 23:42 
더ㅏ콰 쌈디 우승 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(116.122) 23:42 
관객함서ㅓㅇ 없어서 구린거냐     ㅇㅇ(211.117) 23:42 
ㅈㄴ 못하네 더콰 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.62) 23:42 
머쉬 피처링 뭐냐고ㅋㅋㅋ     ㅇㅇ(175.123) 23:42 
저 공연은 미리 찍어놓은거임?     ㅇㅇ(14.38) 23:42 
머쉬 그냥 칼퇴하고 집에 가다 ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(59.187) 23:42 
쌈디랑 덕화 힘 존나 빼고 했는데 존나 잘하네     ㅇㅇ(14.50) 23:42 
양심에 버섯이났네여     누렁2 23:42 
문투 에미 뒤젔냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(106.101) 23:42 
야가다 하러 가다 가다가다가다 ㅋㅋㅋㅋㅋ     ㅇㅇ(125.178) 23:42 
머쉬베놈 제거버전 마렵노      ㅇㅇ(39.7) 23:42 
===12/18 23:42:25
쌈박자급으로 처참하네 씨발ㅋㅋㅋㅋ     ㅇㅇ(223.38) 23:42 
서든상점 ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(125.138) 23:42 
이게 결승?     ㅇㅇ(211.36) 23:42 
생각이 나     구루타밍 23:42 
머쉬베넘 제거버전 마렵네 ㅋㅋㅋ     ㅇㅇ(112.187) 23:42 
머쉬베놈 삭제버전ㅋㅋㅋ     엠넷광고적..(218.155) 23:42 
머쉬 발렸노 ㅋㅋ     ㅇㅇ(39.7) 23:42 
더콰 개멋잇네ㅋㅋㅋ     ㅇㅇ(118.176) 23:42 
머쉬 우승감은 아니야     ㅁㅁ(59.16) 23:42 
머쉬만 없었으면 좋았을텐데     ㅋㅋㅋ(115.143) 23:42 
굴젓표정이 울상이었던 이유     ㅇㅇ(219.241) 23:42 
더콰 버전 ㅈㄴ 좋노 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(218.148) 23:42 
개구림 진짜 억까아님     ㅇㅇ(218.233) 23:42 
쌈디랑 더콰가 곡 뺏었다     ㅇㅇ(121.130) 23:42 
쌈디 듣다가 머쉬들으니까 좆구리누     ㅇㅇ(121.165) 23:42 
더콰 오랜만에 랩잘했네ㅋㅋㅋ     ㅇㅇ(223.33) 23:42 
빈스카터 개노땅     ㅇㅇ(218.52) 23:42 
확실히 잼민이픽이 쇼미결승오니깐 품격 확떨어지네     ㄱㄱ(121.88) 23:42 
이야 쌈디나오고 노래 확살았노 더콰도 존나 좋노     킹놀드 23:42 
이게 파이널이지 ㅋㅋㅋ 쇼미국룰 어디안가노     ㅇㅇ(125.130) 23:42 
더콰 왜 좋냐 ㅋㅋㅋㅋ     ㅇㅇ(125.132) 23:42 
찢었다 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.36) 23:42 
휘민 ㅈㄴ 커엽닼ㅋㅋㅋㅋ     ㅇㅇ(211.36) 23:42 
나름 좋은데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     머머따 23:42 
지금무대 하는거임?     ㅇㅇ(1.239) 23:42 
아 ㅌㅋㅋㅋㅋㅋㅋ     ㅇㅇ 23:42 
좆망이노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     히피 23:42 
비트 좆망ㅋㅋㅋ     ㅇㅇ(118.235) 23:42 
===12/18 23:42:31
더콰 존나여우롭게하노 ㅋㅋ     ㅇㅇ(125.186) 23:42 
머쉬베놈 제거버전 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.108) 23:42 
스카이베놈 행 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.214) 23:42 
와 쌈디 콰형이 하니까 팍 사네     ii메가스터.. 23:42 
쌈디더콰우승ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(125.177) 23:42 
차력보다 100000배나음     ㅇㅇ(112.186) 23:42 
머쉬제거버전 입갤 ㅋㅋㅋㅋㅋ     ㅇㅇ(121.176) 23:42 
머쉬 삭제좀 씨발     ㅇㅇ(223.33) 23:42 
머쉬 제거버젼 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.62) 23:42 
더콰 랩 잘하는 스타일 아닌데 그것보다 못하는게 머쉬베놈     ㅇㅇ(223.62) 23:42 
더콰 존나좋다 ㅆㅂ     나드리 23:42 
무대 좋은데?     쭈냥(124.197) 23:42 
솔직히 쌈디 없는 가다 구리면 개추      ㅇㅇ(110.13) 23:42 
이영지는 지 제자들 나오고 머쉬는 스승 나옴 ㅋㅋ     ㅇㅇ(183.106) 23:42 
스포 진짜였네?????     국힙원탑아..(118.216) 23:42 
더콰 쌈디 우승 ㅋㅋㅋㅋㅋ     ㅇㅇ(218.157) 23:42 
이거 혼자 하는무대아니얐냐?     ㅇㅇ(210.223) 23:42 
구리노     ㅇㅇ(211.178) 23:42 
솔직히 비트가 좆나 구린데     ㅇㅇ(219.249) 23:42 
이것도 머쉬베놈 삭제버젼 필요하겠노     ㅇㅇ(121.140) 23:42 
진짜 씨발 개 쳐 구 리 다     ㅇㅇ(125.181) 23:42 
좆쉬제거버젼 스카이민혁보다 마렵다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.178) 23:42 
머쉬삭제버전 필요 ㅋㅋ     ㅇㅇ(39.120) 23:42 
굴젓 표정 씹창난 이유가 있었네 ㅋㅋㅋ     다이아펀치 23:42 
원래 있던곡만 아녔으면 좋았을듯     ㅇㅇ(121.136) 23:42 
듣기싫다 이제     쿠팡조아 23:42 
서든상점 커두고 랩하노ㅋㅋㅋ     ㅇㅇ(116.38) 23:42 
관객 없으니까 좀 그러네     병따개 23:42 
===12/18 23:42:37
서든  상점 ㅋㅋㅋㅋㅋㄱㅋㅋㄱ     ㅇㅇ(114.204) 23:42 
좆구리다 진짜     ㅇㅇ(49.143) 23:42 
이영지 엔딩 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     이지늄 23:42 
진심 좆구리노 ㅋㅋㅋ     ㅇㅇ(210.205) 23:42 
쌈디랑 더콰 입갤      ㅇㅇ(106.101) 23:42 
아니 그루비룸 비트로 안하냐고 왜 도대체 피쳐링은 빵빵한데      ㅇㅇ(14.63) 23:42 
